title,genre,release_date,cast,directors,genres,movie_tone,plot
Triumph of Justice,Crime,1924-01-01,['G. Mohanial Dave'],['Homi Master'],['Crime'],['neutral'],"This film claimed realist intent, mainly for its thinly veiled allusions to a major scandal in Bombay known as the Champsi-Haridas murder case."
Sushila the Virtous,"Drama, Crime",1924-01-01,"['G. Mohanial Dave', 'G.Mohanial Dave']",['Kanjibhai Rathod'],"['Drama', 'Crime']","['serious', 'neutral', 'uplifting']","This love story claims to uphold the tradition of domesticated female virtue. The story tells of virtuous Sushila and her husband Pratap, who leads a peaceful life until her former suitor Jaswant arrives on a social call. His appearance prompts Pratap to suspect his wife's marital fidelity and he drives the visitor away."
The Debt of Sin,"Drama, Crime",1924-01-01,['Naval Gandhi'],['Ardeshir Irani'],"['Drama', 'Crime']","['neutral', 'serious', 'emotional']","A moralistic social film in a contemporary setting. The plot concerns a young woman, Sarojini, who, under the influence of her jailbird cousin Jairam swindles her aged husband and ruins her lover, the next door neighbor Thakurdas."
20th Century,Drama,1924-01-01,['G. Mohanial Dave'],['Homi Master'],['Drama'],"['neutral', 'serious', 'emotional']","This social film attacks Bombay's industrial parvenu class, initiating the realist-reformist melodrama as a genre. It tells of the street hawker Devdas, who goes to the city to make his fortune but, once successful, becomes an exploitative cotton mill owner and a callous snob knighted by the British."
Prithvi Vallabh,"Drama, History",1924-01-04,"['K.M. Munshi', 'D.S. Shirur']",['Manilal Joshi'],"['Drama', 'History']","['serious', 'neutral', 'uplifting']","Seminal silent historical film, the story features King Munja, ruler of Aranti, famed warrior and patron of the arts. Munja (Sandow) falls into the hands of his arch enemy Tailap, who received assistance from Bhillam (Altekar), king of Dharavati. Tailap orders that Munja be put to death but is held back by Tailap's powerful sister Minalvati (Fatma Begum), a widow who first wants to break Munja's spirit. Instead, she and Munja fall in love."
Prithvi Vallabh,"Drama, History",1924-01-04,"['K.M. Munshi', 'D.S. Shirur']",['Manilal Joshi'],"['Drama', 'History']","['serious', 'neutral', 'uplifting']","The story revolves around two kings, Prithvi Vallabh (Munj) of Avantipur who is kind and just, and Tailap, a neighboring king who is cruel. With the help of his sister Mrinalvati (Durga Khote) and another neighbouring king Bhillam (K. N. Singh), Tailap manages to capture Prithvi Vallabh. The rest of the film follows incidents following his captivity."
Black Serpent,Horror,1925-01-01,['Zillu'],['Bhagwati Prasad Mishra'],['Horror'],"['dark', 'neutral', 'intense']",Indian horror movie from 1925.
Social Pirates,"Drama, Crime",1925-01-01,"['Nanubhai B. Desai', 'Nirbhay Shankar', 'Nirbhayshankar Thakkar']",['Nanubhai B. Desai'],"['Drama', 'Crime']","['serious', 'suspenseful', 'neutral']","Millionarie Ratanlal is an old man without an heir. He marries the rich, Western-educated Mohini. He has two managers, the sincere and faithful Dhairyadhar and the Anglicised crook Manhar. Mohini, bored with her marriage, falls in love with Manhar who embezzles Rs. 50,000 from Ratanlal's office and frames Dhairyadhar for the crime, who is imprisoned. Mohini's affair with Manhar develops and they decide to eliminate old man Ratanlal..."
Kulin Kanta,Crime,1925-01-01,['G. Mohanial Dave'],['Homi Master'],['Crime'],"['neutral', 'uplifting']","The story for this film was derived from the Bawla murder case. The maharaja of Holkar fell in love with a dancing girl named Mumtaz (Moti) who spurned his advances because she loved another man. In fact, the maharaja had the man kidnapped in full public view and killed."
The Light of Asia,Drama,1925-10-22,"['Edwin Arnold', 'Niranjan Pal']","['Franz Osten', 'Himanshu Rai']",['Drama'],"['thought-provoking', 'serious', 'neutral']","Living an indolent life in a luxurious palace, Prince Gautama (Rai) is insulated by his family from the harshness of the world outside. But he is destined to learn greater truths: shocked to discover the pain and suffering of so many in his kingdom, he abandons his privileged existence, and his wife Gopa (Seeta Devi), to become a wandering teacher, eventually finding enlightenment and founding Buddhism. Featuring superimposed images and deep-focus shots that were highly impressive for the time, Light of Asia astutely combines a deeply felt spirituality with the surefire attraction of Indian exotica, which helped make it a considerable success in Europe."
Typist Girl,Drama,1926-10-30,['G.Mohanial Dave'],"['Devare S. Gajanan', 'Chandulal Shah']",['Drama'],"['neutral', 'serious', 'emotional']","Indian silent film starring Ruby Mayer (Sulochana), released in 1926."
Sati Savitri,"Drama, Fantasy",1927-01-01,"['Sushila Bai', 'Anusuya Bai', 'Gulab Bai']",['Baburao Painter'],"['Drama', 'Fantasy']","['serious', 'neutral', 'uplifting']","Baburao Painter’s mythological silent feature SatiSavitri (1927) narrates the tale of love and devotion of legendary Savitri, who won back her husband from the Lord of death Yama. Only 32 minutes exists."
Wildcat of Bombay,"Crime, Drama",1927-02-26,['Desai'],['Mohan Dayaram Bhavnani'],"['Crime', 'Drama']","['neutral', 'serious', 'emotional']","The story revolves around the characters played by the actress Sulochana. Sulochana had eight separate roles in this film: a gardener, a policeman, a Hyderabadi gentleman, a street urchin, a European blonde, an old banana-seller and an expert pickpocket who gives her money to charity."
Sacrifice,Drama,1927-03-01,"['Jamshed Ratnagar', 'Rabindranath Tagore']",['Naval Gandhi'],['Drama'],"['neutral', 'serious', 'emotional']","The story addresses the conflict between reformist enlightenment and obsolete, inhuman ritual, questioning the contemporary validity of traditional rituals. The dramatic pivot is the conflict between the king who banned animal sacrifice, and the priest who calls for the king's own blood. Emotionally, the film revolves around the childless queen and a beggar girl whose pet goat has been taken for the sacrifice and who loves a servant in the temple."
Anarkali,Drama,1928-07-14,['Narayan Vijay Thakur'],['R.S. Choudhury'],['Drama'],"['neutral', 'serious', 'emotional']",Film starring Ruby Myers.
Anarkali,Drama,1928-07-14,['Narayan Vijay Thakur'],['R.S. Choudhury'],['Drama'],"['neutral', 'serious', 'emotional']",Film starring Ruby Myers.
Anarkali,Drama,1928-07-14,['Narayan Vijay Thakur'],['R.S. Choudhury'],['Drama'],"['neutral', 'serious', 'emotional']","Based on a popular historical legend, Prince Salim has a passionate love affair with a beautiful, sassy commoner."
Madhuri,Drama,1928-08-18,['Vasantrai H. Desai'],['R.S. Choudhury'],['Drama'],"['serious', 'neutral', 'uplifting']","The story follows a kind princess, facing danger from an evil prince, while a brave warrior helps her and they fell in love, but face unknown dangers."
Madhuri,Drama,1928-08-18,['Vasantrai H. Desai'],['R.S. Choudhury'],['Drama'],"['serious', 'neutral', 'uplifting']","The Gupta period depicts battles between Ujjain and Kanauj kingdoms, featuring Amber, Prince Tikka, and Madhuri, who defeats Kanauj's commander and rescues Amber."
Cruel Sorceress,"Horror, Fantasy",1929-01-01,"['Navinchandra', 'Zebunissa', 'Pehalwan Nandram']",['Anand Prasad Kapoor'],"['Horror', 'Fantasy']","['dark', 'neutral', 'intense']",Indian horror movie from 1929.
Anarbala,"Horror, Fantasy",1929-01-01,"['Zebunissa', 'Master Vithal', 'Lobo']",['Bhagwati Prasad Mishra'],"['Horror', 'Fantasy']","['dark', 'neutral', 'intense']","A lighting fast horse, a pair of magic sandals, and a mystical stick aid an adventurous young lady (Zebunissa)."
Anarbala,"Horror, Fantasy",1929-01-01,"['Zebunissa', 'Master Vithal', 'Lobo']",['Bhagwati Prasad Mishra'],"['Horror', 'Fantasy']","['dark', 'neutral', 'intense']","Agya Betal (Syed Jan), the demonic ruler of Maldweep, kidnaps Anarbala (Shanta Kashmiri), the daughter of Maharaja Madan Singh (Abdul Rahim Pahelwan), and keeps her hidden away in a magic city where monsters worship the goddess Narka Kumari while sacrificing devotees of the god Vishnu."
Anarbala,"Horror, Fantasy",1929-01-01,"['Zebunissa', 'Master Vithal', 'Lobo']",['Bhagwati Prasad Mishra'],"['Horror', 'Fantasy']","['dark', 'neutral', 'intense']",Indian horror movie from 1961.
A Throw of Dice,"Drama, Adventure, Romance",1929-08-16,"['Niranjan Pal', 'W.A. Burton', 'Max Jungk']",['Franz Osten'],"['Drama', 'Adventure', 'Romance']","['serious', 'neutral', 'heartwarming']","Two neighboring kings addicted to gambling, Ranjit and his cousin Sohat, vie for the same beautiful young woman, Sunita, daughter of the hermit Kanwa."
Indira B.A.,Drama,1929-10-19,['Vasantrai H. Desai'],['R.S. Choudhury'],['Drama'],"['neutral', 'serious', 'emotional']",Indian film released in 1929.
The Light of the World,Fantasy,1931-03-14,"['Joseph David', 'Ardeshir Irani']",['Ardeshir Irani'],['Fantasy'],"['neutral', 'heartwarming']","A period fantasy that told of the ageing king of Kamarpur, and his two rival queens, Navbahar and Dilbahar, and their rivalry when a fakir predicts that Navbahar will bear the king's heir. Dilbahar unsuccessfully tries to seduce the army chief Adil (Vithal) and vengefully destroys his family, leaving his daughter Alam Ara (Zubeida) to be raised by nomads. Eventually, Alam Ara's nomad friends invade the palace, expose Dilbahar's schemes, release Adil from the dungeon and she marries the prince of the realm."
