title,genre,language,release_date,imdb_score,cast,directors,movie_duration,plot_keywords,genres,movie_tone
Triumph of Justice,Crime,hi,1924-01-01,0.0,['G. Mohanial Dave'],['Homi Master'],unknown,"['known', 'veiled', 'intent', 'scandal', 'champsi', 'murder', 'haridas', 'film', 'claimed', 'bombay', 'allusions', 'realist', 'case', 'major']",['Crime'],['neutral']
Sushila the Virtous,"Drama, Crime",hi,1924-01-01,0.0,"['G. Mohanial Dave', 'G.Mohanial Dave']",['Kanjibhai Rathod'],unknown,"['story', 'uphold', 'wife', 'marital', 'suitor', 'claims', 'virtue', 'tells', 'tradition', 'suspect', 'arrives', 'life', 'social', 'peaceful', 'domesticated', 'female', 'prompts', 'drives', 'sushila', 'virtuous', 'leads', 'love', 'jaswant', 'visitor', 'appearance', 'fidelity', 'husband', 'pratap']","['Drama', 'Crime']","['serious', 'neutral', 'uplifting']"
The Debt of Sin,"Drama, Crime",hi,1924-01-01,0.0,['Naval Gandhi'],['Ardeshir Irani'],unknown,"['swindles', 'aged', 'setting', 'young', 'ruins', 'contemporary', 'film', 'plot', 'door', 'influence', 'woman', 'moralistic', 'lover', 'social', 'jairam', 'neighbor', 'concerns', 'sarojini', 'jailbird', 'thakurdas', 'cousin', 'husband']","['Drama', 'Crime']","['neutral', 'serious', 'emotional']"
20th Century,Drama,hi,1924-01-01,0.0,['G. Mohanial Dave'],['Homi Master'],unknown,"['british', 'devdas', 'cotton', 'fortune', 'callous', 'realist', 'hawker', 'mill', 'knighted', 'owner', 'exploitative', 'film', 'snob', 'tells', 'goes', 'street', 'city', 'bombay', 'social', 'successful', 'initiating', 'industrial', 'attacks', 'parvenu', 'reformist', 'melodrama', 'genre', 'class']",['Drama'],"['neutral', 'serious', 'emotional']"
Prithvi Vallabh,"Drama, History",hi,1924-01-04,5.0,"['K.M. Munshi', 'D.S. Shirur']",['Manilal Joshi'],unknown,"['sister', 'fall', 'story', 'dharavati', 'falls', 'king', 'king munja', 'patron', 'orders', 'hands', 'arch', 'fatma', 'silent', 'death', 'received', 'assistance', 'minalvati', 'arts', 'held', 'ruler', 'famed', 'aranti', 'film', 'warrior', 'widow', 'enemy', 'spirit', 'begum', 'fatma begum', 'powerful', 'munja', 'historical', 'love', 'break', 'wants', 'seminal', 'tailap', 'altekar', 'sandow', 'bhillam', 'features']","['Drama', 'History']","['serious', 'neutral', 'uplifting']"
Wife and the Vampire,Horror,hi,1925-01-01,0.0,[],[],unknown,"['horror', 'movie', 'indian', '1925']",['Horror'],"['dark', 'neutral', 'intense']"
Black Serpent,Horror,hi,1925-01-01,0.0,['Zillu'],['Bhagwati Prasad Mishra'],unknown,"['horror', 'movie', 'indian', '1925']",['Horror'],"['dark', 'neutral', 'intense']"
Social Pirates,"Drama, Crime",hi,1925-01-01,0.0,"['Nanubhai B. Desai', 'Nirbhay Shankar', 'Nirbhayshankar Thakkar']",['Nanubhai B. Desai'],unknown,"['develops', 'rich', 'heir', 'bored', 'falls', 'embezzles', 'eliminate', 'millionarie', 'frames', 'western', 'affair', 'ratanlal', 'dhairyadhar', 'sincere', 'rs', 'millionarie ratanlal', 'manhar', 'old', 'crime', 'marriage', 'faithful', 'decide', 'man', 'imprisoned', 'mohini', 'educated', 'anglicised', 'managers', 'love', 'office', 'crook', '50,000', 'marries']","['Drama', 'Crime']","['serious', 'suspenseful', 'neutral']"
Kulin Kanta,Crime,hi,1925-01-01,0.0,['G. Mohanial Dave'],['Homi Master'],unknown,"['moti', 'story', 'murder', 'derived', 'fact', 'kidnapped', 'named', 'advances', 'holkar', 'film', 'spurned', 'killed', 'mumtaz', 'fell', 'man', 'dancing', 'bawla', 'view', 'girl', 'public', 'love', 'maharaja', 'case', 'loved']",['Crime'],"['neutral', 'uplifting']"
The Light of Asia,Drama,hi,1925-10-22,6.4,"['Edwin Arnold', 'Niranjan Pal']","['Franz Osten', 'Himanshu Rai']",unknown,"['asia', 'attraction', 'privileged', 'suffering', 'discover', 'wife', 'finding', 'superimposed', 'indolent', 'kingdom', 'pain', 'devi', 'spirituality', 'helped', 'world', 'founding', 'images', 'palace', 'combines', 'light', 'surefire', 'considerable', 'destined', 'living', 'prince', 'existence', 'seeta', 'greater', 'felt', 'impressive', 'prince gautama', 'wandering', 'seeta devi', 'family', 'harshness', 'exotica', 'truths', 'insulated', 'luxurious', 'life', 'learn', 'enlightenment', 'featuring', 'abandons', 'rai', 'gautama', 'gopa', 'buddhism', 'light of asia', 'teacher', 'indian', 'shots', 'time', 'focus', 'shocked', 'success', 'deep', 'europe']",['Drama'],"['thought-provoking', 'serious', 'neutral']"
Wandering Phantom,Horror,hi,1926-01-01,0.0,[],['Mohan Dayaram Bhavnani'],unknown,"['horror', 'movie', '1926', 'indian']",['Horror'],"['dark', 'neutral', 'intense']"
Typist Girl,Drama,hi,1926-10-30,0.0,['G.Mohanial Dave'],"['Devare S. Gajanan', 'Chandulal Shah']",unknown,"['sulochana', 'released', 'ruby mayer', 'ruby', 'indian', 'film', 'mayer', 'starring', 'silent', '1926']",['Drama'],"['neutral', 'serious', 'emotional']"
Sati Savitri,"Drama, Fantasy",hi,1927-01-01,0.0,"['Sushila Bai', 'Anusuya Bai', 'Gulab Bai']",['Baburao Painter'],unknown,"['yama', 'tale', 'painter', 'feature', 'silent', 'only 32 minutes', 'death', '1927', 'legendary', 'lord', 'narrates', 'satisavitri', 'savitri', 'exists', 'minutes', 'won', 'mythological', 'love', 'baburao painter’s', 'devotion', 'husband', 'baburao']","['Drama', 'Fantasy']","['serious', 'neutral', 'uplifting']"
